label,start,o_twap,o_spot,full,settled
5m,1789758900,81200.68,81226.10,81192.63,Up
5m,1789759200,81192.53,81185.30,81142.75,Down
5m,1789759500,81147.73,81170.20,81211.67,Up
5m,1789759800,81204.40,81166.30,81149.20,Down
5m,1789760100,81107.72,81100.30,81084.29,Down
5m,1789760400,81111.02,81162.30,81190.48,Up
5m,1789760700,81195.77,81161.50,81256.13,Up
5m,1789761000,81300.58,81308.00,81245.60,Down
5m,1789761300,81145.60,81172.10,81195.25,Up
5m,1789761600,81121.01,81053.60,81099.04,Down
5m,1789761900,81183.70,81201.60,81059.97,Down
5m,1789762200,80984.34,81004.60,81031.20,Up
5m,1789762500,81080.43,81106.00,81135.56,Up
5m,1789762800,81192.74,81195.40,81123.99,Down
5m,1789763100,81063.18,81047.50,80999.04,Down
5m,1789763400,81000.69,81002.90,81010.48,Up
5m,1789763700,81008.64,81011.00,80983.33,Down
5m,1789764000,80979.24,80970.10,81064.40,Up
5m,1789764300,81155.78,81163.70,81140.47,Down
5m,1789764600,81095.00,81115.90,81109.38,Down
5m,1789764900,81078.74,81081.10,81082.81,Down
5m,1789765200,81124.00,81150.50,81139.11,Up
5m,1789765500,81164.05,81155.00,81180.03,Up
5m,1789765800,81173.90,81197.80,81221.71,Up
5m,1789766100,81219.98,81186.50,81162.55,Down
5m,1789766400,81123.13,81145.70,81161.58,Up
5m,1789766700,81193.90,81208.70,81184.01,Down
5m,1789767000,81180.22,81184.20,81151.94,Down
5m,1789767300,81145.43,81150.00,81183.70,Up
5m,1789767600,81226.20,81217.10,81228.70,Down
5m,1789767900,81200.10,81200.10,81188.49,Down
5m,1789768200,81225.25,81240.10,81207.37,Up
5m,1789768500,81209.42,81210.50,81216.97,Up
5m,1789768800,81226.93,81234.40,81225.03,Down
5m,1789769100,81232.90,81238.90,81283.81,Up
5m,1789769400,81331.94,81334.60,81267.19,Down
5m,1789769700,81248.63,81265.10,81288.68,Up
5m,1789770000,81304.55,81292.80,81281.23,Down
5m,1789770300,81244.61,81239.30,81238.34,Down
5m,1789770600,81244.09,81240.80,81200.74,Down
5m,1789770900,81158.10,81161.30,81134.53,Down
5m,1789771200,81167.12,81168.30,81142.87,Down
5m,1789771500,81107.04,81103.60,81100.99,Down
5m,1789771800,81106.46,81110.00,81097.82,Up
5m,1789772100,81118.90,81125.00,81112.74,Up
5m,1789772400,81150.19,81185.20,81167.18,Up
5m,1789772700,81110.95,81081.70,81097.72,Down
5m,1789773000,81106.25,81097.20,81119.70,Up
5m,1789773300,81166.53,81174.10,81135.47,Down
5m,1789773600,81113.75,81113.70,81077.13,Down
5m,1789773900,81028.17,81017.40,81000.32,Down
5m,1789774200,80969.56,80958.50,80958.77,Down
5m,1789774500,80977.03,80952.00,80913.34,Down
5m,1789774800,80870.53,80854.70,80878.38,Down
5m,1789775100,80879.17,80877.20,80881.18,Down
5m,1789775400,80888.31,80883.00,80897.71,Up
5m,1789775700,80894.18,80899.00,80908.44,Down
5m,1789776000,80895.59,80912.50,80861.35,Down
5m,1789776300,80855.93,80866.50,80868.54,Up
5m,1789776600,80877.80,80907.10,80918.69,Up
5m,1789776900,80959.91,80960.80,81013.77,Up
5m,1789777200,81032.10,81008.40,81047.24,Up
5m,1789777500,81054.95,81058.00,81071.92,Up
5m,1789777800,81097.30,81111.80,81206.14,Up
5m,1789778100,81245.04,81253.20,81243.20,Up
5m,1789778400,81257.52,81255.80,81269.29,Up
5m,1789778700,81307.59,81304.20,81277.94,Down
5m,1789779000,81297.21,81324.20,81355.43,Up
5m,1789779300,81450.00,81499.90,81530.96,Up
5m,1789779600,81671.30,81694.80,81592.37,Down
5m,1789779900,81460.55,81445.60,81425.44,Down
5m,1789780200,81364.44,81343.40,81318.01,Down
5m,1789780500,81275.75,81290.80,81225.03,Down
5m,1789780800,81142.88,81135.80,81210.15,Up
5m,1789781100,81290.46,81294.00,81258.39,Down
5m,1789781400,81222.16,81213.70,81153.17,Down
5m,1789781700,81077.35,81068.40,81089.22,Up
5m,1789782000,81114.60,81099.70,81135.77,Up
5m,1789782300,81184.41,81217.40,81257.31,Up
5m,1789782600,81332.36,81359.50,81325.46,Up
5m,1789782900,81288.80,81271.40,81276.26,Down
5m,1789783200,81253.99,81244.50,81246.67,Up
5m,1789783500,81252.61,81258.90,81280.10,Up
5m,1789783800,81356.10,81373.70,81360.95,Up
5m,1789784100,81342.74,81339.00,81315.88,Down
5m,1789784400,81322.77,81315.20,81352.73,Up
5m,1789784700,81387.97,81359.70,81349.96,Down
5m,1789785000,81336.07,81348.90,81351.74,Up
5m,1789785300,81319.54,81298.30,81337.31,Down
5m,1789785600,81298.92,81288.50,81291.53,Down
5m,1789785900,81276.84,81261.70,81272.68,Down
5m,1789786200,81274.98,81265.00,81275.69,Down
5m,1789786500,81277.29,81285.70,81266.65,Down
5m,1789786800,81267.03,81260.20,81306.39,Up
5m,1789787100,81346.80,81329.30,81302.15,Down
5m,1789787400,81284.21,81272.80,81260.77,Down
5m,1789787700,81244.86,81227.90,81199.29,Down
5m,1789788000,81167.42,81171.40,81178.71,Down
5m,1789788300,81157.06,81149.00,81148.93,Down
5m,1789788600,81114.10,81114.10,81114.77,Down
5m,1789788900,81108.03,81112.70,81110.30,Down
5m,1789789200,81106.76,81107.50,81127.50,Up
5m,1789789500,81148.73,81144.30,81156.61,Up
5m,1789789800,81149.04,81136.90,81149.56,Down
5m,1789790100,81152.09,81151.30,81126.10,Down
5m,1789790400,81104.70,81104.90,81105.77,Up
5m,1789790700,81119.60,81116.60,81146.95,Up
5m,1789791000,81161.04,81163.70,81181.08,Up
5m,1789791300,81194.26,81203.40,81147.30,Down
5m,1789791600,81121.74,81126.90,81124.43,Down
5m,1789791900,81108.97,81098.50,81112.38,Down
5m,1789792200,81091.85,81074.10,81027.88,Down
5m,1789792500,80981.01,80981.80,80957.34,Down
5m,1789792800,80906.74,80900.00,80948.83,Up
5m,1789793100,80946.49,80948.60,80941.50,Down
5m,1789793400,80970.55,80988.40,80965.31,Up
5m,1789793700,80979.00,80976.20,80994.37,Up
5m,1789794000,81004.30,81007.00,81019.83,Up
5m,1789794300,81042.38,81053.20,81081.23,Up
5m,1789794600,81082.61,81065.50,81053.29,Down
5m,1789794900,81020.70,81020.70,81031.90,Up
5m,1789795200,81040.05,81028.20,81034.91,Down
5m,1789795500,81065.95,81071.90,81078.72,Up
5m,1789795800,81042.52,81043.70,81047.69,Down
5m,1789796100,81057.82,81050.10,81066.60,Up
5m,1789796400,81070.11,81052.80,81029.11,Down
5m,1789796700,81013.95,81022.90,81002.86,Up
5m,1789797000,81008.90,81020.80,81034.53,Up
5m,1789797300,81041.63,81043.30,81021.22,Down
5m,1789797600,81028.96,81035.20,81019.21,Down
5m,1789797900,81001.60,81004.50,81017.93,Up
5m,1789798200,81010.93,81007.00,80990.62,Down
5m,1789798500,80990.06,80999.50,80988.10,Down
5m,1789798800,80959.95,80959.80,80945.87,Down
5m,1789799100,80917.27,80912.50,80930.94,Up
5m,1789799400,80954.82,80971.00,80988.93,Up
5m,1789799700,81031.70,81034.70,81051.55,Up
5m,1789800000,81060.30,81066.30,81053.53,Down
5m,1789800300,81042.50,81045.70,81053.49,Up
5m,1789800600,81042.40,81042.40,81030.45,Down
5m,1789800900,81005.46,81000.00,81017.71,Down
5m,1789801200,81031.36,81037.70,81043.66,Up
5m,1789801500,81047.49,81047.10,81057.06,Up
15m,1789758900,81200.68,81226.10,81182.38,Up
15m,1789759800,81204.40,81166.30,81141.39,Down
15m,1789760700,81195.77,81161.50,81232.35,Up
15m,1789761600,81121.01,81053.60,81063.36,Down
15m,1789762500,81080.43,81106.00,81086.10,Down
15m,1789763400,81000.69,81002.90,81019.46,Up
15m,1789764300,81155.78,81163.70,81110.94,Down
15m,1789765200,81124.00,81150.50,81180.31,Up
15m,1789766100,81219.98,81186.50,81169.41,Down
15m,1789767000,81180.22,81184.20,81188.12,Up
15m,1789767900,81200.10,81200.10,81204.25,Up
15m,1789768800,81226.93,81234.40,81258.63,Up
15m,1789769700,81248.63,81265.10,81269.41,Up
15m,1789770600,81244.09,81240.80,81159.37,Down
15m,1789771500,81107.04,81103.60,81103.83,Up
15m,1789772400,81150.19,81185.20,81128.24,Up
15m,1789773300,81166.53,81174.10,81070.97,Down
15m,1789774200,80969.56,80958.50,80916.82,Down
