round_start,side,synthetic_price,post_fee_edge,win,p_full
1789758900,Down,0.02,0.979,False,0.000
1789759800,Down,0.15,0.841,True,0.000
1789760700,Up,0.24,0.747,True,1.000
1789761600,Down,0.02,0.979,True,0.000
1789762500,Up,0.01,0.989,False,1.000
1789764600,Up,0.01,0.989,False,1.000
1789765500,Up,0.26,0.727,True,1.000
1789767600,Up,0.01,0.989,False,1.000
1789767900,Down,0.02,0.979,True,0.000
1789768800,Down,0.10,0.894,True,0.000
1789768800,Up,0.89,0.103,True,1.000
1789769700,Up,0.05,0.947,True,1.000
1789770300,Down,0.28,0.706,True,0.000
1789770900,Down,0.03,0.968,True,0.000
1789771500,Down,0.81,0.179,True,0.000
1789771500,Down,0.02,0.979,False,0.000
1789771800,Down,0.02,0.979,False,0.000
1789772100,Down,0.02,0.979,False,0.000
1789772400,Up,0.01,0.989,True,1.000
1789772400,Down,0.50,0.482,False,0.000
1789772700,Down,0.50,0.482,True,0.000
1789774200,Down,0.02,0.979,True,0.000
1789775100,Up,0.83,0.160,False,1.000
1789775400,Up,0.89,0.103,True,1.000
1789775700,Up,0.03,0.968,False,1.000
1789776000,Down,0.02,0.979,False,0.000
1789778100,Down,0.02,0.979,False,0.000
1789783800,Up,0.02,0.979,True,1.000
1789785000,Up,0.01,0.989,True,1.000
1789785300,Up,0.01,0.989,False,1.000
1789785900,Down,0.05,0.947,True,0.000
1789786200,Up,0.15,0.796,False,0.955
1789786800,Up,0.03,0.968,False,1.000
1789788000,Up,0.01,0.989,False,1.000
1789788600,Up,0.01,0.851,False,0.861
1789788900,Up,0.21,0.778,False,1.000
1789791600,Up,0.01,0.989,False,1.000
1789791900,Up,0.01,0.989,False,1.000
1789793100,Down,0.02,0.979,True,0.000
1789793400,Down,0.02,0.979,False,0.000
1789795200,Down,0.02,0.979,True,0.000
1789795500,Up,0.01,0.989,True,1.000
1789795800,Up,0.01,0.989,False,1.000
1789796700,Up,0.46,0.523,True,1.000
1789800300,Up,0.48,0.503,True,1.000
