label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
5m,1789971600,Up,50.0,0.0,32s,,0.0,0.0,-10.9632,-10.9632,0,Up:180s*,0.28,1,0,17,single-leg: Up naked 50sh -> 0.28 ($-10.96)
5m,1789971900,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,17,
5m,1789972200,Up,50.0,50.0,60s,32s,50.0,1.0,0.0,1.0,1,resolution | Down:56s,0.49,0,0,13,pair 50sh +$1.00 | Down naked 0sh -> 0.49 ($+0.00)
15m,1789972200,Down,50.0,50.0,59s,192s,50.0,1.0,0.0,1.0,1,resolution,,0,0,11,pair 50sh +$1.00
5m,1789972500,Down,50.0,1.96,50s,35s,1.96,0.0392,-22.8687,-22.8295,1,resolution | Up:180s*,0.02,1,0,12,pair 2sh +$0.04 | Up naked 48sh -> 0.02 ($-22.87)
5m,1789972800,Down,50.0,0.0,47s,,0.0,0.0,-18.6328,-18.6328,0,Up:180s*,0.12,1,0,20,single-leg: Up naked 50sh -> 0.12 ($-18.63)
5m,1789973100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,22,
15m,1789973100,Up,0.0,1.85,,44s,0.0,0.0,-0.8461,-0.8461,0,Down:540s*,0.03,1,0,54,single-leg: Down naked 2sh -> 0.03 ($-0.85)
5m,1789973400,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,15,
5m,1789973700,Up,50.0,31.42,41s,56s,31.42,0.6284,0.0,0.6284,1,resolution | Up:63s,0.49,0,0,5,pair 31sh +$0.63 | Up naked 19sh -> 0.49 ($+0.00)
5m,1789974000,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,38,
15m,1789974000,Down,5.7,18.0,183s,140s,5.7,0.114,0.0,0.114,1,resolution | Down:171s,0.49,0,0,24,pair 6sh +$0.11 | Down naked 12sh -> 0.49 ($+0.00)
5m,1789974300,Down,50.0,10.0,83s,89s,10.0,0.2,0.0,0.2,1,resolution | Up:119s,0.49,0,0,11,pair 10sh +$0.20 | Up naked 40sh -> 0.49 ($+0.00)
5m,1789974600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,18,
5m,1789974900,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,21,
15m,1789974900,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,11,
5m,1789975200,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,20,
5m,1789975500,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,26,
5m,1789975800,Down,50.0,0.0,62s,,0.0,0.0,-22.8682,-22.8682,0,Up:180s*,0.03,1,0,19,single-leg: Up naked 50sh -> 0.03 ($-22.87)
15m,1789975800,Down,50.0,0.0,66s,,0.0,0.0,-11.9317,-11.9317,0,Up:540s*,0.27,1,0,20,single-leg: Up naked 50sh -> 0.27 ($-11.93)
5m,1789976100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,17,
5m,1789976400,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,16,
5m,1789976700,Up,0.0,5.0,,68s,0.0,0.0,0.0,0.0,0,Down:105s,0.49,0,0,41,single-leg: Down naked 5sh -> 0.49 ($+0.00)
15m,1789976700,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,17,
5m,1789977000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,20,
5m,1789977300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,19,
5m,1789977600,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,15,
15m,1789977600,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,17,
5m,1789977900,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,64,
5m,1789978200,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,65,
5m,1789978500,Up,10.0,50.0,66s,32s,10.0,0.2,0.0,0.2,1,resolution | Down:53s,0.49,0,0,9,pair 10sh +$0.20 | Down naked 40sh -> 0.49 ($+0.00)
