ts,side,usd,buy,sell,n
1788843635.111,SELL,1557267.79,0,1557267.79,222
1788847359.462,SELL,1570161.48,0,1570161.48,223
1788848533.922,SELL,1511549.95,0,1511549.95,145
1788874638.656,SELL,2962925.24,0,2962925.24,106
1788874791.723,SELL,3773983.12,0,3773983.12,31
1788874873.998,SELL,1992400.3199999998,0,1992400.3199999998,113
1788929019.198,BUY,1985769.39,1985769.39,0,39
1788930894.168,BUY,1509145.19,1509145.19,0,94
1788942111.777,BUY,2146705.2199999997,2146705.2199999997,0,67
1788966681.537,SELL,1500124.7,0,1500124.7,78
1788985764.211,SELL,1905315.95,0,1905315.95,252
1788991738.235,SELL,5577787.81,188763.44,5577787.81,73
1789038286.357,SELL,1791305.11,0,1791305.11,87
1789043438.413,SELL,1697070.81,0,1697070.81,153
1789043670.11,SELL,1547634.44,0,1547634.44,82
1789043824.603,SELL,1574045.5,0,1574045.5,91
1789043916.107,SELL,1518962.27,0,1518962.27,61
1789044392.378,SELL,2062669.31,0,2062669.31,24
1789057109.398,SELL,2462316.4,0,2462316.4,7
1789081736.278,SELL,1771938.71,46.74,1771938.71,122
1789082098.364,SELL,10444542.229999999,0,10444542.229999999,55
1789129819.087,SELL,1511712.78,2052.5600000000004,1511712.78,104
1789130242.845,BUY,1744776.32,1744776.32,2781.2,82
1789130412.024,BUY,1559801.99,1559801.99,0,48
1789130812.567,BUY,1504013.9,1504013.9,0,195
1789130881.341,BUY,1629476.56,1629476.56,0,47
1789134558.286,BUY,2082429.97,2082429.97,0,45
1789134794.115,BUY,2347157.85,2347157.85,0,10
1789135115.414,BUY,2710150.15,2710150.15,36911.63,55
1789135176.1,BUY,1742015.25,1742015.25,0,52
1789135379.55,BUY,3258109.52,3258109.52,2068.55,45
1789141936.985,SELL,1985399.21,0,1985399.21,99
1789142075.179,SELL,1771754.16,155.5,1771754.16,105
1789149869.586,SELL,3101415.4699999997,0,3101415.4699999997,11
1789149970.263,SELL,1513419.97,0,1513419.97,210
1789270076.441,SELL,4252945.22,45019.11,4252945.22,9
1789345695.688,SELL,1584231.32,0,1584231.32,35
1789379524.783,BUY,1547916.36,1547916.36,0,128
1789409983.861,BUY,1514869.43,1514869.43,0,69
1789410045.021,BUY,1658466.6199999999,1658466.6199999999,0,16
1789410152.216,BUY,1531051.33,1531051.33,0,51
1789417067.166,BUY,3238413.3200000003,3238413.3200000003,19.65,68
1789417413.62,BUY,5442201.94,5442201.94,0,78
1789446353.366,SELL,1799456.95,0,1799456.95,20
1789479484.64,SELL,1515052.82,0,1515052.82,91
1789479549.904,SELL,2081850.2,0,2081850.2,112
1789482923.117,SELL,1511581.65,0,1511581.65,247
1789483147.978,SELL,1622673.46,0,1622673.46,106
1789483216.429,SELL,1539320.58,0,1539320.58,75
1789483899.135,SELL,2032301.12,0,2032301.12,27
1789493489.23,BUY,1501529.4,1501529.4,0,49
1789493641.222,BUY,1583764.76,1583764.76,0,53
1789493735.849,BUY,1545112.61,1545112.61,0,99
1789497430.867,SELL,1610350.67,0,1610350.67,85
1789497950.517,SELL,1749646.47,5111.81,1749646.47,83
1789498020.806,SELL,2696550.1900000004,0,2696550.1900000004,34
1789498088.065,SELL,1653720.91,0,1653720.91,27
